ID,Names
13,25hours Hotel One Central
111,2xceed
31,ADNH - Marriot Hotels
30,ADNH - Sofitel and Kempinski Hotels
87,Air Chateau
39,Al Bustan Centre & Residence
69,"Al Habtoor Group,  Al Habtoor Polo Resort & Metropolitan Hotel Dubai"
105,Al Hadaf Travel and Tourism LLC (Dubai)
25,Al Khoory Hotels
38,Al Mulla Travels and Tourism
72,Arabian Adventures
113,"At the Top,  Burj Khalifa"
88,Aura Skypool
114,AYA Universe by Hyperspace
40,Azur Regency Hotel Apartments LLC
59,Babylon Tourism
71,Beach Walk Hotel
100,"Billionaire Luxury Tourism DMC,  UAE"
97,Blueberry Travel (Friends Travel and Tourism LLC)
62,Carlton Hotels & Suites
94,Centara Mirage Beach Resort Dubai
63,City Premiere Hotel Apartments
61,Citymax Hotels
66,Connect World Travel & Tourism
20,Conrad Dubai
42,Delta Hotels by Marriott Jumeirah Beach
84,Desert Adventures Tourism
21,Destinaro Travel and Tourism LLC
4,Destination Touristik Services
124,Dubai College of Tourism
32,Dubai Culture and Arts Authority
34,Dubai Health Authority
122,Dubai Holding Entertainment
76,"Dukes The Palm,  a Royal Hideaway Hotel"
73,E Stay Hotel
91,E-Booking Travel Tourism
95,EET Destination Management
5,Elevate DMC
108,Emessa Travel & Tourism LLC
104,Exotic Holidays by CBTF
1,Expo City Dubai
11,Fairmont The Palm
78,Flora Hospitality
65,Fortune Atrium Hotel
53,Four Points by Sheraton Production City Dubai / Royal Regency Suites
96,GCT - Gulf Circle Tours
33,"General Directorate of Residency and Foreigners Affairs,  Dubai"
36,Go Kite Travels & Tours LLC
79,Grand Cosmopolitan Hotel
14,Grand Mercure Dubai City
47,"Grosvenor House,  a Luxury Collection Hotel,  Dubai"
86,"Habtoor Grand Resort,  Autograph Collection"
123,Hatta
75,Hilton Worldwide Services
85,Holiday Store DMCC
107,Hyatt Hotels Dubai
92,HYDE Dubai
103,ibyta travels LLC
50,JW Marriott Marquis Hotel Dubai
27,Khalidia Palace Hotel Dubai
35,Khamas Hospitality
118,La Perle by Dragone
82,Landmark Hotels & Suites
46,Le Royal Meridien Beach Resort & Spa
117,Madame Tussauds Museum LLC
51,Marriott Hotel Al Jaddaf
77,Meeting Point Emirates
18,Mercure Hotel Suites & Apartments Barsha Heights
17,Movenpick Grand Al Bustan Hotel
15,Movenpick Hotel & Apartments Bur Dubai
16,Movenpick Hotel Jumeirah Beach
11,Movenpick Jumeirah Lake Towers
120,Museum of the Future
58,Nikki Beach Resort & Spa Dubai
89,Oasis Palm Tourism
3,Orient Tours
74,Palazzo Versace Dubai
68,Paramount Hotels
80,Parmar Tourism LLC
98,Peace land Travel and Tourism LLC
67,Platinumlist
37,Princess Tourism LLC
19,Pullman Dubai Downtown
10,Queen Elizabeth 2 Managed by Accor
6,Raffles The Palm Dubai
54,Residence Inn by Marriott Sheikh Zayed Road
57,Rezmytrip Tours
2,Rida International Travel & Tourism
23,Riu Hotels & Resorts
90,Royal Adventure Travel & Tourism LLC
28,Royal Arabian Destination Management Company
106,"Royal Gulf Tourism LLC,  Dubai"
29,Sadaf holidays and travels
102,Savoy Hotel Apartments - Dubai
116,Seamocean
125,Sheikh Mohammed bin Rashid Al Maktoum Centre for Cultural Understanding
49,Sheraton Dubai Creek Hotel
49,Sheraton Jumeirah Beach Resort
52,"Sheraton Mall of the Emirates Hotel,  Dubai"
99,Silver Sands
83,Skydive Dubai - XDubai - Deep Dive Dubai
12,SLS Hotel & Residencies Dubai
121,Smartvisit International
8,Sofitel Dubai Downtown
9,Sofitel Dubai The Obelisk
7,Sofitel Dubai The Palm
64,Sonder Holiday Homes LLC
115,Splendid Travel & Tourism
45,St Regis Downtown Dubai
26,Stella Di Mare Hotels & Resorts
81,Suha Hospitality
55,Superjet Tours LLC
24,Swissatel Al Ghurair
17,Swissatel Al Murooj Dubai
101,"Taj Exotica Resort & Spa,  The Palm,  Dubai"
48,"The Ritz-Carlton,  Dubai International Financial Center"
44,"The St. Regis Dubai,  The Palm"
119,The View Palm Jumeirah
112,TravelDesk
56,Traveller's Choice Travel & Tourism LLC
93,Two Seasons Hotel & Apartments
110,voco Monaco Dubai
109,Voyage Tours
43,"W Dubai - Mina Seyahi,  Westin and Le Meridien Mina Seyahi Resorts"
41,W Dubai the Palm
70,Waldorf Astoria Dubai Palm Jumeirah
60,White Sands Tours & Travel
22,Yalla Tours & Travel
